sugas,parklajumi,svarots
EVEPAL,0.019404171624531993,1.3089533072718372e-4
EXACON,1.473688899624872e-16,9.941109553035586e-19
FABADI,0.18598369370438875,0.0012545960512182577
FABNIO,0.25303201668272324,0.0017068860319900494
FALLAC,0.28639303831473745,0.0019319305247113177
FAVQUE,0.12509506837066028,8.438577365506149e-4
GALMEL,0.047745699874204114,3.220796690920598e-4
GASQUE,0.4583778530229312,0.003092093897664653
GELSP.,0.057250140296577455,3.861940717337329e-4
GEOPAP,0.1322063131289952,8.918282839429801e-4
GEOSP.,0.24644173305824066,0.0016624297485008852
GLYBER,0.4426474286724599,0.0029859806794517857
GLYSIM,0.6842147821868143,0.00461552917257972
GONRHA,0.10491449820660846,7.077250297801238e-4
GORFLA,2.8903456049172644e-15,1.9497495239281164e-17
GRAORO,0.0018203729861826856,1.2279747297842233e-5
GRIAPR,1.1847240478615567e-12,7.991830265468831e-15
GYMRUF,2.014067972475774e-15,1.3586361657971746e-17
GYNSEL,0.17978909752318228,0.0012128089689583147
HABPYR,0.26032489399247927,0.0017560818237963031
HADPLE,0.8435164386568107,0.0056901353661605964
HAMLUC,0.6551362463451055,0.0044193731789246935
HARFOR,0.11965395765076157,8.071534648617407e-4
HECDYS,0.1954166772551421,0.0013182284249939522
HEDNUB,0.6912024856110764,0.004662666343309848
HELARM,7.848189506013037e-17,5.294177875134962e-19
HELVIR,3.625328975557625e-6,2.445549567550286e-8
HEMAES,0.19615138324921327,0.0013231845543223283
HEMFUC,0.7182441783039072,0.004845082340083238
HEMTIT,0.6585246973128352,0.004442230759173731
HEPHUM,0.5342500913479833,0.003603907641674914
HESCOM,0.006460303215935551,4.357947055975743e-5
HETMOR,0.3719689178501616,0.0025092024263830876
HIPALC,0.03218239192172432,2.1709377322040417e-4
HIPHER,0.14397168589518372,9.711943289954698e-4
HIPSEM,0.032621960910692686,2.2005898757233692e-4
HORTER,0.2985586043627466,0.002013996166169793
HYDFLA,0.5230227862902155,0.003528171256883639
HYDFUR,0.0033465023455415254,2.2574606109191175e-5
HYDIMP,0.7682347366491122,0.0051823052215568
HYDMIC,0.04170984175499201,2.813633911687202e-4
HYDUND,0.38879373887734353,0.0026226981506733416
HYLGAL,0.1477059689673721,9.96384799746875e-4
HYPCOS,0.20265344949003797,0.001367045747032395
HYPCRA,0.759959583842629,0.005126483263042827
HYPLYC,0.03133988701108236,2.1141046135058272e-4
HYPPRO,0.19772580334415235,0.0013338051694672711
HYPPUN,0.6441231147017762,0.00434508155047027
HYPROB,0.5659475000722303,0.003817729848488914
HYPROS,0.08120323466118444,5.477752136378152e-4
IDAAVE,0.10015724237357178,6.756338595066192e-4
IDABIS,0.10741924912942975,7.246214068466619e-4
IDADIM,0.11240628488153497,7.582626107460757e-4
IDAEMA,0.006483460706899658,4.3735684774783556e-5
IDASEI,0.19698333011848942,0.0013287966444804917
IDASER,0.15881501176198004,0.0010713234190705802
INAIO,0.10782040152539334,7.273274731790823e-4
INCPEC,0.015002851467278044,1.0120520693485351e-4
IPIRET,1.6129132892446367e-5,1.088027989625857e-7
ISSLAT,0.143422085635816,9.674868732426701e-4
JODLAC,0.5714479788774282,0.003854834601337729
JODPUT,0.7567168779891961,0.005104608840194524
KORLUP,0.2516480174392013,0.0016975499447706422
LACOLE,0.06472200178024395,4.3659724271041827e-4
LACTHA,0.7924240924873571,0.005345480119913274
LACW-L,0.02802997059853621,1.8908265412010986e-4
LAMC-A,0.42731006166964935,0.0028825189205494393
LAMSUF,0.21072442498624075,0.0014214903802436795
LAMTER,0.029981234590262435,2.022453569901536e-4
LAOAMU,0.4456954927244996,0.003006542100979565
LAOPOP,0.149759638957975,0.0010102383059838848
LARCLA,7.139423819923307e-10,4.8160635774264035e-12
LASFLE,0.2641092842362227,0.0017816103040705787
LASMAE,0.33926729847007697,0.0022886060841687673
LASMEG,0.19172683361367238,0.0012933377307078246
LASPET,0.4946578903895095,0.0033368292866203454
LASQUE,0.25584576793435443,0.0017258668422917196
LEPSIN,0.2596972627568881,0.0017518479920333664
LEPSINJ,0.2727054734688396,0.001839597888099896
LEUBIC,0.05526342161896925,3.727922010741978e-4
LEUSAL,0.6943584072362362,0.004683955343060401
LIMCAM,0.27235199105763963,0.001837213390682765
LIMPOP,0.5021566765516327,0.0033874140842471913
LIT(=X,0.13418963454754823,9.052072376052738e-4
LITCON,0.1634753611243193,0.0011027608843173003
LITFUR,0.0023000487181099993,1.5515510966982836e-5
LITQUA,0.2397497002558599,0.0016172870923826849
LITSP.,2.832972932790345e-8,1.9110474600726257e-10
LOBHAL,0.02700786837321115,1.8218782699686538e-4
LOMBIM,0.5463821172312433,0.003685747030189309
LOMMAR,0.5520057764309302,0.0037236827248988604
LOMOPI,0.2788280751299918,0.00188089931466191
LOMTEM,0.2922850925430319,0.0019716767402055187
LOPACH,0.3244326434226052,0.0021885354851122443
LOXSTI,0.3315537381818993,0.0022365724779658314
LYCALC,0.27797665937244564,0.001875155892611909
LYCDIS,0.3165777096940064,0.0021355482116465134
LYCHIP,0.41577353571311343,0.0028046966146173286
LYCHIR,0.23594343912452206,0.0015916110769741937
LYCPHL,0.17397384490520293,0.0011735808365019832
LYCSP.,0.2964705748583312,0.0019999108798799607
LYCTIT,0.2266367241401362,0.0015288304770373897
LYCVIR,0.08792213162848604,5.93099088198115e-4
LYGPAS,0.05263554515133693,3.550652521481206e-4
LYMDIS,0.20462991255414859,0.001380378436077453
LYMMON,0.02685243369620999,1.8113930640829164e-4
LYTCRU,0.3737287071328675,0.0025210734922872214
MACALT,0.2484590787583871,0.0016760382208294792
MACBRU,0.2433669735214377,0.0016416882464020503
MACCON,0.12273594005019008,8.27943690452125e-4
