"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00877 2228116 0 0.9997 1.0000 0.9994 0.9997 0.9998 1.0000 0.9994
0.00887 2227892 0 0.9997 1.0000 0.9994 0.9997 0.9998 1.0000 0.9994
0.00897 2227668 0 0.9997 1.0000 0.9994 0.9997 0.9998 1.0000 0.9994
0.00907 2227444 0 0.9997 1.0000 0.9994 0.9997 0.9998 1.0000 0.9994
0.00917 2227220 0 0.9997 1.0000 0.9994 0.9997 0.9998 1.0000 0.9994
0.00927 2226996 0 0.9997 1.0000 0.9994 0.9997 0.9998 1.0000 0.9994
0.00937 2226772 0 0.9997 1.0000 0.9993 0.9997 0.9998 1.0000 0.9993
0.00947 2226548 0 0.9997 1.0000 0.9993 0.9997 0.9997 1.0000 0.9993
0.00957 2226324 0 0.9997 1.0000 0.9993 0.9997 0.9997 1.0000 0.9993
0.00967 2226100 0 0.9997 1.0000 0.9993 0.9997 0.9997 1.0000 0.9993
0.00977 2225876 0 0.9997 1.0000 0.9993 0.9997 0.9997 1.0000 0.9993
0.00987 2225652 0 0.9997 1.0000 0.9993 0.9997 0.9997 1.0000 0.9993
0.00997 2225428 0 0.9997 1.0000 0.9993 0.9997 0.9997 1.0000 0.9993
0.01006 2225204 0 0.9997 1.0000 0.9993 0.9997 0.9997 1.0000 0.9993
0.01016 2224980 0 0.9997 1.0000 0.9993 0.9997 0.9997 1.0000 0.9993
0.01026 2224756 0 0.9997 1.0000 0.9993 0.9997 0.9997 1.0000 0.9993
0.01036 2224532 0 0.9997 1.0000 0.9993 0.9997 0.9997 1.0000 0.9993
0.01046 2224308 0 0.9997 1.0000 0.9993 0.9997 0.9997 1.0000 0.9993
0.01056 2224084 0 0.9997 1.0000 0.9992 0.9997 0.9997 1.0000 0.9992
0.01066 2223860 0 0.9996 1.0000 0.9992 0.9996 0.9997 1.0000 0.9992
0.01076 2223636 0 0.9996 1.0000 0.9992 0.9996 0.9997 1.0000 0.9992
0.01086 2223412 0 0.9996 1.0000 0.9992 0.9996 0.9997 1.0000 0.9992
0.01096 2223188 0 0.9996 1.0000 0.9992 0.9996 0.9997 1.0000 0.9992
0.01106 2222964 0 0.9996 1.0000 0.9992 0.9996 0.9997 1.0000 0.9992
0.01116 2222740 0 0.9996 1.0000 0.9992 0.9996 0.9997 1.0000 0.9992
0.01126 2222516 0 0.9996 1.0000 0.9992 0.9996 0.9997 1.0000 0.9992
0.01136 2222292 0 0.9996 1.0000 0.9992 0.9996 0.9997 1.0000 0.9992
0.01146 2222068 0 0.9996 1.0000 0.9992 0.9996 0.9997 1.0000 0.9992
0.01156 2221844 0 0.9996 1.0000 0.9992 0.9996 0.9997 1.0000 0.9992
0.01166 2221620 0 0.9996 1.0000 0.9991 0.9996 0.9997 1.0000 0.9991
0.01176 2221396 0 0.9996 1.0000 0.9991 0.9996 0.9997 1.0000 0.9991
0.01186 2221172 0 0.9996 1.0000 0.9991 0.9996 0.9997 1.0000 0.9991
0.01196 2220948 0 0.9996 1.0000 0.9991 0.9996 0.9997 1.0000 0.9991
0.01206 2220724 0 0.9996 1.0000 0.9991 0.9996 0.9997 1.0000 0.9991
0.01216 2220500 0 0.9996 1.0000 0.9991 0.9996 0.9996 1.0000 0.9991
0.01226 2220276 0 0.9996 1.0000 0.9991 0.9996 0.9996 1.0000 0.9991
0.01236 2220052 0 0.9996 1.0000 0.9991 0.9996 0.9996 1.0000 0.9991
0.01246 2219828 0 0.9996 1.0000 0.9991 0.9996 0.9996 1.0000 0.9991
0.01256 2219604 0 0.9996 1.0000 0.9991 0.9996 0.9996 1.0000 0.9991
0.01266 2219380 0 0.9996 1.0000 0.9991 0.9996 0.9996 1.0000 0.9991
0.01276 2219156 0 0.9996 1.0000 0.9991 0.9996 0.9996 1.0000 0.9991
0.01286 2218932 0 0.9995 1.0000 0.9990 0.9995 0.9996 1.0000 0.9990
0.01295 2218708 0 0.9995 1.0000 0.9990 0.9995 0.9996 1.0000 0.9990
0.01305 2218484 0 0.9995 1.0000 0.9990 0.9995 0.9996 1.0000 0.9990
0.01315 2218260 0 0.9995 1.0000 0.9990 0.9995 0.9996 1.0000 0.9990
0.01325 2218036 0 0.9995 1.0000 0.9990 0.9995 0.9996 1.0000 0.9990
0.01335 2217812 0 0.9995 1.0000 0.9990 0.9995 0.9996 1.0000 0.9990
0.01345 2217588 0 0.9995 1.0000 0.9990 0.9995 0.9996 1.0000 0.9990
0.01355 2217364 0 0.9995 1.0000 0.9990 0.9995 0.9996 1.0000 0.9990
0.01365 2217140 0 0.9995 1.0000 0.9990 0.9995 0.9996 1.0000 0.9990
0.01375 2216916 0 0.9995 1.0000 0.9990 0.9995 0.9996 1.0000 0.9990
0.01385 2216692 0 0.9995 1.0000 0.9990 0.9995 0.9996 1.0000 0.9990
0.01395 2216468 0 0.9995 1.0000 0.9989 0.9995 0.9996 1.0000 0.9989
0.01405 2216244 0 0.9995 1.0000 0.9989 0.9995 0.9996 1.0000 0.9989
0.01415 2216020 0 0.9995 1.0000 0.9989 0.9995 0.9996 1.0000 0.9989
0.01425 2215796 0 0.9995 1.0000 0.9989 0.9995 0.9996 1.0000 0.9989
0.01435 2215572 0 0.9995 1.0000 0.9989 0.9995 0.9996 1.0000 0.9989
0.01445 2215348 0 0.9995 1.0000 0.9989 0.9995 0.9995 1.0000 0.9989
0.01455 2215124 0 0.9995 1.0000 0.9989 0.9995 0.9995 1.0000 0.9989
0.01465 2214900 0 0.9995 1.0000 0.9989 0.9995 0.9995 1.0000 0.9989
0.01475 2214676 0 0.9994 1.0000 0.9989 0.9994 0.9995 1.0000 0.9989
0.01485 2214452 0 0.9994 1.0000 0.9989 0.9994 0.9995 1.0000 0.9989
0.01495 2214228 0 0.9994 1.0000 0.9988 0.9994 0.9995 1.0000 0.9988
0.01505 2214004 0 0.9994 1.0000 0.9988 0.9994 0.9995 1.0000 0.9988
0.01515 2213780 0 0.9994 1.0000 0.9988 0.9994 0.9995 1.0000 0.9988
0.01525 2213556 0 0.9994 1.0000 0.9988 0.9994 0.9995 1.0000 0.9988
0.01535 2213332 0 0.9994 1.0000 0.9988 0.9994 0.9995 1.0000 0.9988
0.01545 2213108 0 0.9994 1.0000 0.9988 0.9994 0.9995 1.0000 0.9988
0.01555 2212884 0 0.9994 1.0000 0.9988 0.9994 0.9995 1.0000 0.9988
0.01565 2212660 0 0.9994 1.0000 0.9988 0.9994 0.9995 1.0000 0.9988
0.01574 2212436 0 0.9994 1.0000 0.9988 0.9994 0.9995 1.0000 0.9988
0.01584 2212212 0 0.9994 1.0000 0.9988 0.9994 0.9995 1.0000 0.9988
0.01594 2211988 0 0.9994 1.0000 0.9987 0.9994 0.9995 1.0000 0.9987
0.01604 2211764 0 0.9994 1.0000 0.9987 0.9994 0.9995 1.0000 0.9987
0.01614 2211540 0 0.9994 1.0000 0.9987 0.9994 0.9995 1.0000 0.9987
0.01624 2211316 0 0.9994 1.0000 0.9987 0.9994 0.9995 1.0000 0.9987
0.01634 2211092 0 0.9994 1.0000 0.9987 0.9994 0.9995 1.0000 0.9987
0.01644 2210868 0 0.9994 1.0000 0.9987 0.9994 0.9995 1.0000 0.9987
0.01654 2210644 0 0.9993 1.0000 0.9987 0.9993 0.9994 1.0000 0.9987
0.01664 2210420 0 0.9993 1.0000 0.9987 0.9993 0.9994 1.0000 0.9987
0.01674 2210196 0 0.9993 1.0000 0.9987 0.9993 0.9994 1.0000 0.9987
0.01684 2209972 0 0.9993 1.0000 0.9987 0.9993 0.9994 1.0000 0.9987
0.01694 2209748 0 0.9993 1.0000 0.9986 0.9993 0.9994 1.0000 0.9986
0.01704 2209524 0 0.9993 1.0000 0.9986 0.9993 0.9994 1.0000 0.9986
