sugas,parklajumi,svarots
EXACON,1.2947408445376405e-16,2.0957243260034037e-18
FABADI,0.014550322747756337,2.3551790663221904e-4
FABNIO,0.021784657733002158,3.526160261130429e-4
FALLAC,0.25162594930659893,0.004072927993585113
FAVQUE,0.043997051603089456,7.12155576971458e-4
GALMEL,0.009798277354559634,1.5859921536816806e-4
GASQUE,0.16165178536714947,0.002616566708041065
GELSP.,0.012473514390862946,2.019017755558652e-4
GEOPAP,0.012048064506580096,1.9501525710123726e-4
GEOSP.,0.20259353100896824,0.003279267762484466
GLYBER,0.07807353270789594,0.001263732448105395
GLYSIM,0.42525392772603565,0.006883346615841136
GONRHA,0.18976489766896149,0.0030716178758414653
GORFLA,1.0234501841330194e-16,1.6566013626504359e-18
GRAORO,3.3933689196239705e-7,5.492655786648505e-9
GRIAPR,7.134585897415476e-17,1.1548353698931873e-18
GYMRUF,1.549944635831215e-5,2.508808377347465e-7
GYNSEL,0.13811448509267307,0.002235581640938451
HABPYR,0.013841006034606177,2.240365951646688e-4
HADPLE,0.15100252919159665,0.0024441931761863727
HAMLUC,0.2283656285912379,0.0036964262391260506
HARFOR,0.007189086777699589,1.1636571214492528e-4
HECDYS,0.010603055141386642,1.7162570164915684e-4
HEDNUB,0.13008219969459506,0.002105567546047011
HELARM,7.43322397150464e-17,1.2031742385694875e-18
HELVIR,2.547083334059408e-15,4.122820814734072e-17
HEMAES,0.006992212128009628,1.1317901270411179e-4
HEMFUC,0.2151382762096774,0.0034823225111745722
HEMTIT,0.25539765383651797,0.004133978457600337
HEPHUM,0.05702265590158009,9.229937219516577e-4
HESCOM,1.2642839667145595e-4,2.046425487539141e-6
HETMOR,0.03630067369357686,5.875786280389425e-4
HIPALC,0.0055607850886588844,9.000930673613749e-5
HIPHER,0.010832904338543472,1.75346141579867e-4
HIPSEM,0.008944202708477674,1.4477478849874386e-4
HORTER,0.06111346791949437,9.892093997470976e-4
HYDFLA,0.1325951939704934,0.002146243973745468
HYDFUR,3.6204412567287864e-7,5.86020503222973e-9
HYDIMP,0.08085674572470879,0.0013087827548783073
HYDMIC,0.010944235629132082,1.7714819868586045e-4
HYDUND,0.11844581240848137,0.001917215877022359
HYLGAL,0.05938518971728028,9.612347306404401e-4
HYPCOS,0.09242350521421695,0.001496007397844209
